Authors,Primary Category,Published,Summary,Title,Updated
"Arvind W. Kiwelekar, Geetanjali S. Mahamunkar, Laxman D. Netak, Valmik B Nikam",AI,2020,"Consumer electronic devices such as mobile handsets, goods tagged with RFID
labels, location and position sensors are continuously generating a vast amount
of location enriched data called geospatial data. Conventionally such
geospatial data is used for military applications. In recent times, many useful
civilian applications have been designed and deployed around such geospatial
data. For example, a recommendation system to suggest restaurants or places of
attraction to a tourist visiting a particular locality. At the same time, civic
bodies are harnessing geospatial data generated through remote sensing devices
to provide better services to citizens such as traffic monitoring, pothole
identification, and weather reporting. Typically such applications are
leveraged upon non-hierarchical machine learning techniques such as Naive-Bayes
Classifiers, Support Vector Machines, and decision trees. Recent advances in
the field of deep-learning showed that Neural Network-based techniques
outperform conventional techniques and provide effective solutions for many
geospatial data analysis tasks such as object recognition, image
classification, and scene understanding. The chapter presents a survey on the
current state of the applications of deep learning techniques for analyzing
geospatial data.
  The chapter is organized as below: (i) A brief overview of deep learning
algorithms. (ii)Geospatial Analysis: a Data Science Perspective (iii)
Deep-learning techniques for Remote Sensing data analytics tasks (iv)
Deep-learning techniques for GPS data analytics(iv) Deep-learning techniques
for RFID data analytics.",Deep Learning Techniques for Geospatial Data Analysis,2020
"Mayssa Ben Kahla, Dalel Kanzari, Ahmed Maalel",AI,2020,"According to GHO (Global Health Observatory (GHO), the high prevalence of a
large variety of diseases such as Ischaemic heart disease, stroke, lung cancer
disease and lower respiratory infections have remained the top killers during
the past decade.
  The growth in the number of mortalities caused by these disease is due to the
very delayed symptoms'detection. Since in the early stages, the symptoms are
insignificant and similar to those of benign diseases (e.g. the flu ), and we
can only detect the disease at an advanced stage.
  In addition, The high frequency of improper practices that are harmful to
health, the hereditary factors, and the stressful living conditions can
increase the death rates.
  Many researches dealt with these fatal disease, and most of them applied
advantage machine learning models to deal with image diagnosis. However the
drawback is that imagery permit only to detect disease at a very delayed stage
and then patient can hardly be saved.
  In this Paper we present our new approach ""DeepLCP"" to predict fatal diseases
that threaten people's lives. It's mainly based on raw and heterogeneous data
of the concerned (or under-tested) person. ""DeepLCP"" results of a combination
combination of the Natural Language Processing (NLP) and the deep learning
paradigm.The experimental results of the proposed model in the case of Lung
cancer prediction have approved high accuracy and a low loss data rate during
the validation of the disease prediction.",General DeepLCP model for disease prediction : Case of Lung Cancer,2020
"Rebecca Bernemann, Benjamin Cabrera, Reiko Heckel, Barbara König",AI,2020,"This paper exploits extended Bayesian networks for uncertainty reasoning on
Petri nets, where firing of transitions is probabilistic. In particular,
Bayesian networks are used as symbolic representations of probability
distributions, modelling the observer's knowledge about the tokens in the net.
The observer can study the net by monitoring successful and failed steps.
  An update mechanism for Bayesian nets is enabled by relaxing some of their
restrictions, leading to modular Bayesian nets that can conveniently be
represented and modified. As for every symbolic representation, the question is
how to derive information - in this case marginal probability distributions -
from a modular Bayesian net. We show how to do this by generalizing the known
method of variable elimination.
  The approach is illustrated by examples about the spreading of diseases (SIR
model) and information diffusion in social networks. We have implemented our
approach and provide runtime results.",Uncertainty Reasoning for Probabilistic Petri Nets via Bayesian Networks,2020
"Kevin Leahy, Austin Jones, Cristian-Ioan Vasile",AI,2020,"In this work, we focus on decomposing large multi-agent path planning
problems with global temporal logic goals (common to all agents) into smaller
sub-problems that can be solved and executed independently. Crucially, the
sub-problems' solutions must jointly satisfy the common global mission
specification. The agents' missions are given as Capability Temporal Logic
(CaTL) formulas, a fragment of signal temporal logic, that can express
properties over tasks involving multiple agent capabilities (sensors, e.g.,
camera, IR, and effectors, e.g., wheeled, flying, manipulators) under strict
timing constraints. The approach we take is to decompose both the temporal
logic specification and the team of agents. We jointly reason about the
assignment of agents to subteams and the decomposition of formulas using a
satisfiability modulo theories (SMT) approach. The output of the SMT is then
distributed to subteams and leads to a significant speed up in planning time.
We include computational results to evaluate the efficiency of our solution, as
well as the trade-offs introduced by the conservative nature of the SMT
encoding.",Fast Decomposition of Temporal Logic Specifications for Heterogeneous Teams,2020
"Sonia Baee, Mark Rucker, Anna Baglione, Mawulolo K. Ameko, Laura Barnes",AI,2020,"Virtual coaching has rapidly evolved into a foundational component of modern
clinical practice. At a time when healthcare professionals are in short supply
and the demand for low-cost treatments is ever-increasing, virtual health
coaches (VHCs) offer intervention-on-demand for those limited by finances or
geographic access to care. More recently, AI-powered virtual coaches have
become a viable complement to human coaches. However, the push for AI-powered
coaching systems raises several important issues for researchers, designers,
clinicians, and patients. In this paper, we present a novel framework to guide
the design and development of virtual coaching systems. This framework augments
a traditional data science pipeline with four key guiding goals: reliability,
fairness, engagement, and ethics.",A Framework for Addressing the Risks and Opportunities In AI-Supported Virtual Health Coaches,2020
"Farhana Faruqe, Ryan Watkins, Larry Medsker",AI,2020,"The work reported here addresses the capacity of psychophysiological sensors
and measures using Electroencephalogram (EEG) and Galvanic Skin Response (GSR)
to detect levels of trust for humans using AI-supported Human-Machine
Interaction (HMI). Improvements to the analysis of EEG and GSR data may create
models that perform as well, or better than, traditional tools. A challenge to
analyzing the EEG and GSR data is the large amount of training data required
due to a large number of variables in the measurements. Researchers have
routinely used standard machine-learning classifiers like artificial neural
networks (ANN), support vector machines (SVM), and K-nearest neighbors (KNN).
Traditionally, these have provided few insights into which features of the EEG
and GSR data facilitate the more and least accurate predictions - thus making
it harder to improve the HMI and human-machine trust relationship. A key
ingredient to applying trust-sensor research results to practical situations
and monitoring trust in work environments is the understanding of which key
features are contributing to trust and then reducing the amount of data needed
for practical applications. We used the Local Interpretable Model-agnostic
Explanations (LIME) model as a process to reduce the volume of data required to
monitor and enhance trust in HMI systems - a technology that could be valuable
for governmental and public sector applications. Explainable AI can make HMI
systems transparent and promote trust. From customer service in government
agencies and community-level non-profit public service organizations to
national military and cybersecurity institutions, many public sector
organizations are increasingly concerned to have effective and ethical HMI with
services that are trustworthy, unbiased, and free of unintended negative
consequences.",Monitoring Trust in Human-Machine Interactions for Public Sector Applications,2020
"Manas Gaur, Keyur Faldu, Amit Sheth",AI,2020,"The recent series of innovations in deep learning (DL) have shown enormous
potential to impact individuals and society, both positively and negatively.
The DL models utilizing massive computing power and enormous datasets have
significantly outperformed prior historical benchmarks on increasingly
difficult, well-defined research tasks across technology domains such as
computer vision, natural language processing, signal processing, and
human-computer interactions. However, the Black-Box nature of DL models and
their over-reliance on massive amounts of data condensed into labels and dense
representations poses challenges for interpretability and explainability of the
system. Furthermore, DLs have not yet been proven in their ability to
effectively utilize relevant domain knowledge and experience critical to human
understanding. This aspect is missing in early data-focused approaches and
necessitated knowledge-infused learning and other strategies to incorporate
computational knowledge. This article demonstrates how knowledge, provided as a
knowledge graph, is incorporated into DL methods using knowledge-infused
learning, which is one of the strategies. We then discuss how this makes a
fundamental difference in the interpretability and explainability of current
approaches, and illustrate it with examples from natural language processing
for healthcare and education applications.",Semantics of the Black-Box: Can knowledge graphs help make deep learning systems more interpretable and explainable?,2020
"An Nguyen, Wenyu Zhang, Leo Schwinn, Bjoern Eskofier",AI,2020,"Process Mining has recently gained popularity in healthcare due to its
potential to provide a transparent, objective and data-based view on processes.
Conformance checking is a sub-discipline of process mining that has the
potential to answer how the actual process executions deviate from existing
guidelines. In this work, we analyze a medical training process for a surgical
procedure. Ten students were trained to install a Central Venous Catheters
(CVC) with ultrasound. Event log data was collected directly after instruction
by the supervisors during a first test run and additionally after a subsequent
individual training phase. In order to provide objective performance measures,
we formulate an optimal, global sequence alignment problem inspired by
approaches in bioinformatics. Therefore, we use the Petri net model
representation of the medical process guideline to simulate a representative
set of guideline conform sequences. Next, we calculate the optimal, global
sequence alignment of the recorded and simulated event logs. Finally, the
output measures and visualization of aligned sequences are provided for
objective feedback.",Conformance Checking for a Medical Training Process Using Petri net Simulation and Sequence Alignment,2020
"Bahadorreza Ofoghi, Vicky Mak, John Yearwood",AI,2020,"In this paper, we propose a new mixed-integer linear programming (MILP) model
ontology and a novel constraint typology of MILP formulations. MILP is a
commonly used mathematical programming technique for modelling and solving
real-life scheduling, routing, planning, resource allocation, and timetabling
optimization problems providing optimized business solutions for industry
sectors such as manufacturing, agriculture, defence, healthcare, medicine,
energy, finance, and transportation. Despite the numerous real-life
Combinatorial Optimization Problems found and solved and millions yet to be
discovered and formulated, the number of types of constraints (the building
blocks of a MILP) is relatively small. In the search for a suitable
machine-readable knowledge representation structure for MILPs, we propose an
optimization modelling tree built based upon an MILP model ontology that can be
used as a guide for automated systems to elicit an MILP model from end-users on
their combinatorial business optimization problems. Our ultimate aim is to
develop a machine-readable knowledge representation for MILP that allows us to
map an end-user's natural language description of the business optimization
problem to an MILP formal specification as a first step towards automated
mathematical modelling.",A Knowledge Representation Approach to Automated Mathematical Modelling,2021
"Md. Mushfiqur Rahman, Nahian Muhtasim Zahin, Kazi Raiyan Mahmud, Md. Azmaeen Bin Ansar",AI,2020,"Ill-managed intersections are the primary reasons behind the increasing
traffic problem in urban areas, leading to nonoptimal traffic-flow and
unnecessary deadlocks. In this paper, we propose an automated intersection
management system that extracts data from a well-defined grid of sensors and
optimizes traffic flow by controlling traffic signals. The data extraction
mechanism is independent of the optimization algorithm and this paper primarily
emphasizes the later one. We have used MiniZinc modeling language to define our
system as a constraint satisfaction problem which can be solved using any
off-the-shelf solver. The proposed system performs much better than the systems
currently in use. Our system reduces the mean waiting time and standard
deviation of the waiting time of vehicles and avoids deadlocks.",Automated Intersection Management with MiniZinc,2020
"Qiang Shen, Stefano Teso, Wanyi Zhang, Hao Xu, Fausto Giunchiglia",AI,2020,"Applications like personal assistants need to be aware ofthe user's context,
e.g., where they are, what they are doing, and with whom. Context information
is usually inferred from sensor data, like GPS sensors and accelerometers on
the user's smartphone. This prediction task is known as context recognition. A
well-defined context model is fundamental for successful recognition. Existing
models, however, have two major limitations. First, they focus on few aspects,
like location or activity, meaning that recognition methods based onthem can
only compute and leverage few inter-aspect correlations. Second, existing
models typically assume that context is objective, whereas in most applications
context is best viewed from the user's perspective. Neglecting these factors
limits the usefulness of the context model and hinders recognition. We present
a novel ontological context model that captures five dimensions, namely time,
location, activity, social relations and object. Moreover, our model defines
three levels of description(objective context, machine context and subjective
context) that naturally support subjective annotations and reasoning.An initial
context recognition experiment on real-world data hints at the promise of our
model.",Multi-Modal Subjective Context Modelling and Recognition,2020
"He Zhu, Dianbo Liu",AI,2020,"The concept of disinformation is to use fake messages to confuse people in
order to protect the real information. This strategy can be adapted into data
science to protect valuable private and sensitive data. Huge amount of private
data are being generated from personal devices such as smart phone and wearable
in recent years. Being able to utilize these personal data will bring big
opportunities to design personalized products, conduct precision healthcare and
many other tasks that were impossible in the past. However, due to privacy,
safety and regulation reasons, it is often difficult to transfer or store data
in its original form while keeping them safe. Building a secure data transfer
and storage infrastructure to preserving privacy is costly in most cases and
there is always a concern of data security due to human errors. In this study,
we propose a method, named FakeSafe, to provide human level data protection
using generative adversarial network with cycle consistency and conducted
experiments using both benchmark and real world data sets to illustrate
potential applications of FakeSafe.",FakeSafe: Human Level Data Protection by Disinformation Mapping using Cycle-consistent Adversarial Network,2020
"Giuseppe Fenza, Mariacristina Gallo, Vincenzo Loia, Domenico Marinoand Francesco Orciuoli, Alberto Volpe",AI,2020,"Cyber-Physical Systems (CPS) play a crucial role in the era of the
4thIndustrial Revolution. Recently, the application of the CPS to industrial
manufacturing leads to a specialization of them referred as Cyber-Physical
Production Systems (CPPS). Among other challenges, CPS and CPPS should be able
to address interoperability issues, since one of their intrinsic requirement is
the capability to interface and cooperate with other systems. On the other
hand, to fully realize theIndustry 4.0 vision, it is required to address
horizontal, vertical, and end-to-end integration enabling a complete awareness
through the entire supply chain. In this context, Semantic Web standards and
technologies may have a promising role to represent manufacturing knowledge in
a machine-interpretable way for enabling communications among heterogeneous
Industrial assets. This paper proposes an integration of Semantic Web models
available at state of the art for implementing a5C architecture mainly targeted
to collect and process semantic data stream in a way that would unlock the
potentiality of data yield in a smart manufacturing environment. The analysis
of key industrial ontologies and semantic technologies allows us to instantiate
an example scenario for monitoring Overall Equipment Effectiveness(OEE). The
solution uses the SOSA ontology for representing the semantic datastream. Then,
C-SPARQL queries are defined for periodically carrying out useful KPIs to
address the proposed aim.",Semantic CPPS in Industry 4.0,2020
"Rustem Ozakar, Rafet Efe Gazanfer, Y. Sinan Hanay",AI,2020,"In this work, we analyze the happiness levels of countries using an unbiased
emotion detector, artificial intelligence (AI). To date, researchers proposed
many factors that may affect happiness such as wealth, health and safety. Even
though these factors all seem relevant, there is no clear consensus between
sociologists on how to interpret these, and the models to estimate the cost of
these utilities include some assumptions. Researchers in social sciences have
been working on determination of the happiness levels in society and
exploration of the factors correlated with it through polls and different
statistical methods. In our work, by using artificial intelligence, we
introduce a different and relatively unbiased approach to this problem. By
using AI, we make no assumption about what makes a person happy, and leave the
decision to AI to detect the emotions from the faces of people collected from
publicly available street footages. We analyzed the happiness levels in eight
different cities around the world through available footage on the Internet and
found out that there is no statistically significant difference between
countries in terms of happiness.",Measuring Happiness Around the World Through Artificial Intelligence,2020
"Thomas P. Quinn, Stephan Jacobs, Manisha Senadeera, Vuong Le, Simon Coghlan",AI,2020,"Our title alludes to the three Christmas ghosts encountered by Ebenezer
Scrooge in \textit{A Christmas Carol}, who guide Ebenezer through the past,
present, and future of Christmas holiday events. Similarly, our article will
take readers through a journey of the past, present, and future of medical AI.
In doing so, we focus on the crux of modern machine learning: the reliance on
powerful but intrinsically opaque models. When applied to the healthcare
domain, these models fail to meet the needs for transparency that their
clinician and patient end-users require. We review the implications of this
failure, and argue that opaque models (1) lack quality assurance, (2) fail to
elicit trust, and (3) restrict physician-patient dialogue. We then discuss how
upholding transparency in all aspects of model design and model validation can
help ensure the reliability of medical AI.",The Three Ghosts of Medical AI: Can the Black-Box Present Deliver?,2020
"Ali Yazdizadeh, Bilal Farooq",AI,2020,"Ontology is the explicit and formal representation of the concepts in a
domain and relations among them. Transportation science is a wide domain
dealing with mobility over various complex and interconnected transportation
systems, such as land, aviation, and maritime transport, and can take
considerable advantage from ontology development. While several studies can be
found in the recent literature, there exists a large potential to improve and
develop a comprehensive smart mobility ontology. The current chapter aims to
present different aspects of ontology development in general, such as ontology
development methods, languages, tools, and software. Subsequently, it presents
the currently available mobility-related ontologies developed across different
domains, such as transportation, smart cities, goods mobility, sensors. Current
gaps in the available ontologies are identified, and future directions
regarding ontology development are proposed that can incorporate the
forthcoming autonomous and connected vehicles, mobility as a service (MaaS),
and other disruptive transportation technologies and services.",Smart Mobility Ontology: Current Trends and Future Directions,2020
"Joyjit Chatterjee, Nina Dethlefs",AI,2020,"Condition-based monitoring (CBM) has been widely utilised in the wind
industry for monitoring operational inconsistencies and failures in turbines,
with techniques ranging from signal processing and vibration analysis to
artificial intelligence (AI) models using Supervisory Control & Acquisition
(SCADA) data. However, existing studies do not present a concrete basis to
facilitate explainable decision support in operations and maintenance (O&M),
particularly for automated decision support through recommendation of
appropriate maintenance action reports corresponding to failures predicted by
CBM techniques. Knowledge graph databases (KGs) model a collection of
domain-specific information and have played an intrinsic role for real-world
decision support in domains such as healthcare and finance, but have seen very
limited attention in the wind industry. We propose XAI4Wind, a multimodal
knowledge graph for explainable decision support in real-world operational
turbines and demonstrate through experiments several use-cases of the proposed
KG towards O&M planning through interactive query and reasoning and providing
novel insights using graph data science algorithms. The proposed KG combines
multimodal knowledge like SCADA parameters and alarms with natural language
maintenance actions, images etc. By integrating our KG with an Explainable AI
model for anomaly prediction, we show that it can provide effective
human-intelligible O&M strategies for predicted operational inconsistencies in
various turbine sub-components. This can help instil better trust and
confidence in conventionally black-box AI models. We make our KG publicly
available and envisage that it can serve as the building ground for providing
autonomous decision support in the wind industry.",XAI4Wind: A Multimodal Knowledge Graph Database for Explainable Decision Support in Operations & Maintenance of Wind Turbines,2021
Mohammad Reza Davahli,AI,2020,"Artificial intelligence (AI) has been used to advance different fields, such
as education, healthcare, and finance. However, the application of AI in the
field of project management (PM) has not progressed equally. This paper reports
on a systematic review of the published studies used to investigate the
application of AI in PM. This systematic review identified relevant papers
using Web of Science, Science Direct, and Google Scholar databases. Of the 652
articles found, 58 met the predefined criteria and were included in the review.
Included papers were classified per the following dimensions: PM knowledge
areas, PM processes, and AI techniques. The results indicated that the
application of AI in PM was in its early stages and AI models have not applied
for multiple PM processes especially in processes groups of project stakeholder
management, project procurements management, and project communication
management. However, the most popular PM processes among included papers were
project effort prediction and cost estimation, and the most popular AI
techniques were support vector machines, neural networks, and genetic
algorithms.",The Last State of Artificial Intelligence in Project Management,2020
"Yankai Chen, Yaozu Wu, Shicheng Ma, Irwin King",AI,2021,"With the rapid development of biomedical software and hardware, a large
amount of relational data interlinking genes, proteins, chemical components,
drugs, diseases, and symptoms has been collected for modern biomedical
research. Many graph-based learning methods have been proposed to analyze such
type of data, giving a deeper insight into the topology and knowledge behind
the biomedical data, which greatly benefit to both academic research and
industrial application for human healthcare. However, the main difficulty is
how to handle high dimensionality and sparsity of the biomedical graphs.
Recently, graph embedding methods provide an effective and efficient way to
address the above issues. It converts graph-based data into a low dimensional
vector space where the graph structural properties and knowledge information
are well preserved. In this survey, we conduct a literature review of recent
developments and trends in applying graph embedding methods for biomedical
data. We also introduce important applications and tasks in the biomedical
domain as well as associated public biomedical datasets.",A Literature Review of Recent Graph Embedding Techniques for Biomedical Data,2021
"Honglin Li, Roonak Rezvani, Magdalena Anita Kolanko, David J. Sharp, Maitreyee Wairagkar, Ravi Vaidyanathan, Ramin Nilforooshan, Payam Barnaghi",AI,2021,"Behavioural symptoms and urinary tract infections (UTI) are among the most
common problems faced by people with dementia. One of the key challenges in the
management of these conditions is early detection and timely intervention in
order to reduce distress and avoid unplanned hospital admissions. Using in-home
sensing technologies and machine learning models for sensor data integration
and analysis provides opportunities to detect and predict clinically
significant events and changes in health status. We have developed an
integrated platform to collect in-home sensor data and performed an
observational study to apply machine learning models for agitation and UTI risk
analysis. We collected a large dataset from 88 participants with a mean age of
82 and a standard deviation of 6.5 (47 females and 41 males) to evaluate a new
deep learning model that utilises attention and rational mechanism. The
proposed solution can process a large volume of data over a period of time and
extract significant patterns in a time-series data (i.e. attention) and use the
extracted features and patterns to train risk analysis models (i.e. rational).
The proposed model can explain the predictions by indicating which time-steps
and features are used in a long series of time-series data. The model provides
a recall of 91\% and precision of 83\% in detecting the risk of agitation and
UTIs. This model can be used for early detection of conditions such as UTIs and
managing of neuropsychiatric symptoms such as agitation in association with
initial treatment and early intervention approaches. In our study we have
developed a set of clinical pathways for early interventions using the alerts
generated by the proposed model and a clinical monitoring team has been set up
to use the platform and respond to the alerts according to the created
intervention plans.",An attention model to analyse the risk of agitation and urinary tract infections in people with dementia,2021
"Zijian Zhang, Jaspreet Singh, Ujwal Gadiraju, Avishek Anand",AI,2021,"Complex machine learning models are deployed in several critical domains
including healthcare and autonomous vehicles nowadays, albeit as functional
black boxes. Consequently, there has been a recent surge in interpreting
decisions of such complex models in order to explain their actions to humans.
Models that correspond to human interpretation of a task are more desirable in
certain contexts and can help attribute liability, build trust, expose biases
and in turn build better models. It is, therefore, crucial to understand how
and which models conform to human understanding of tasks. In this paper, we
present a large-scale crowdsourcing study that reveals and quantifies the
dissonance between human and machine understanding, through the lens of an
image classification task. In particular, we seek to answer the following
questions: Which (well-performing) complex ML models are closer to humans in
their use of features to make accurate predictions? How does task difficulty
affect the feature selection capability of machines in comparison to humans?
Are humans consistently better at selecting features that make image
recognition more accurate? Our findings have important implications on
human-machine collaboration, considering that a long term goal in the field of
artificial intelligence is to make machines capable of learning and reasoning
like humans.",Dissonance Between Human and Machine Understanding,2021
"Niels Leadholm, Marcus Lewis, Subutai Ahmad",AI,2021,"Grid cells enable the brain to model the physical space of the world and
navigate effectively via path integration, updating self-position using
information from self-movement. Recent proposals suggest that the brain might
use similar mechanisms to understand the structure of objects in diverse
sensory modalities, including vision. In machine vision, object recognition
given a sequence of sensory samples of an image, such as saccades, is a
challenging problem when the sequence does not follow a consistent, fixed
pattern - yet this is something humans do naturally and effortlessly. We
explore how grid cell-based path integration in a cortical network can support
reliable recognition of objects given an arbitrary sequence of inputs. Our
network (GridCellNet) uses grid cell computations to integrate visual
information and make predictions based on movements. We use local Hebbian
plasticity rules to learn rapidly from a handful of examples (few-shot
learning), and consider the task of recognizing MNIST digits given only a
sequence of image feature patches. We compare GridCellNet to k-Nearest
Neighbour (k-NN) classifiers as well as recurrent neural networks (RNNs), both
of which lack explicit mechanisms for handling arbitrary sequences of input
samples. We show that GridCellNet can reliably perform classification,
generalizing to both unseen examples and completely novel sequence
trajectories. We further show that inference is often successful after sampling
a fraction of the input space, enabling the predictive GridCellNet to
reconstruct the rest of the image given just a few movements. We propose that
dynamically moving agents with active sensors can use grid cell representations
not only for navigation, but also for efficient recognition and feature
prediction of seen objects.",Grid Cell Path Integration For Movement-Based Visual Object Recognition,2021
"Tadahiro Taniguchi, Hiroshi Yamakawa, Takayuki Nagai, Kenji Doya, Masamichi Sakagami, Masahiro Suzuki, Tomoaki Nakamura, Akira Taniguchi",AI,2021,"Building a humanlike integrative artificial cognitive system, that is, an
artificial general intelligence (AGI), is the holy grail of the artificial
intelligence (AI) field. Furthermore, a computational model that enables an
artificial system to achieve cognitive development will be an excellent
reference for brain and cognitive science. This paper describes an approach to
develop a cognitive architecture by integrating elemental cognitive modules to
enable the training of the modules as a whole. This approach is based on two
ideas: (1) brain-inspired AI, learning human brain architecture to build
human-level intelligence, and (2) a probabilistic generative model(PGM)-based
cognitive system to develop a cognitive system for developmental robots by
integrating PGMs. The development framework is called a whole brain PGM
(WB-PGM), which differs fundamentally from existing cognitive architectures in
that it can learn continuously through a system based on sensory-motor
information. In this study, we describe the rationale of WB-PGM, the current
status of PGM-based elemental cognitive modules, their relationship with the
human brain, the approach to the integration of the cognitive modules, and
future challenges. Our findings can serve as a reference for brain studies. As
PGMs describe explicit informational relationships between variables, this
description provides interpretable guidance from computational sciences to
brain science. By providing such information, researchers in neuroscience can
provide feedback to researchers in AI and robotics on what the current models
lack with reference to the brain. Further, it can facilitate collaboration
among researchers in neuro-cognitive sciences as well as AI and robotics.",A Whole Brain Probabilistic Generative Model: Toward Realizing Cognitive Architectures for Developmental Robots,2022
"Avner Hatsek, Irit Hochberg, Deeb Daoud Naccache, Aya Biderman, Yuval Shahar",AI,2021,"We evaluated the DiscovErr system, in which we had previously implemented a
new methodology for assessment of compliance to continuous application of
evidence-based clinical guidelines, based on a bidirectional search from the
guideline objectives to the patient's longitudinal data, and vice versa. We
compared the system comments on 1584 transactions regarding the management,
over a mean of 5.23 years, of 10 randomly selected Type 2 diabetes patients, to
those of two diabetes experts and a senior family practitioner. After providing
their own comments, the experts assessed both the correctness (precision) and
the importance of each of the DiscovErr system comments. The completeness
(recall or coverage) of the system was computed by comparing its comments to
those made by the experts. The system made 279 comments. The experts made 181
unique comments. The completeness of the system was 91% compared to comments
made by at least two experts, and 98% when compared to comments made by all
three. 172 comments were evaluated by the experts for correctness and
importance: All 114 medication-related comments, and a random 35% of the 165
monitoring-related comments. The system's correctness was 81% compared to
comments judged as correct by both diabetes experts, and 91% compared to
comments judged as correct by a diabetes expert and at least as partially
correct by the other. 89% of the comments were judged as important by both
diabetes experts, 8% were judged as important by one expert, 3% were judged as
less important by both experts. The completeness scores of the three experts
(compared to the comments of all experts plus the validated system comments)
were 75%, 60%, and 55%; the experts' correctness scores (compared to their
majority) were respectively 99%, 91%, and 88%. Conclusion: Systems such as
DiscovErr can assess the quality of continuous guideline-based care.","Evaluation of a Bi-Directional Methodology for Automated Assessment of Compliance to Continuous Application of Clinical Guidelines, in the Type 2 Diabetes-Management Domain",2021
"Usha Lokala, Francois Lamy, Triyasha Ghosh Dastidar, Kaushik Roy, Raminta Daniulaityte, Srinivasan Parthasarathy, Amit Sheth",AI,2021,"Opioid and substance misuse is rampant in the United States today, with the
phenomenon known as the opioid crisis. The relationship between substance use
and mental health has been extensively studied, with one possible relationship
being substance misuse causes poor mental health. However, the lack of evidence
on the relationship has resulted in opioids being largely inaccessible through
legal means. This study analyzes the substance misuse posts on social media
with the opioids being sold through crypto market listings. We use the Drug
Abuse Ontology, state-of-the-art deep learning, and BERT-based models to
generate sentiment and emotion for the social media posts to understand user
perception on social media by investigating questions such as, which synthetic
opioids people are optimistic, neutral, or negative about or what kind of drugs
induced fear and sorrow or what kind of drugs people love or thankful about or
which drug people think negatively about or which opioids cause little to no
sentimental reaction. We also perform topic analysis associated with the
generated sentiments and emotions to understand which topics correlate with
people's responses to various drugs. Our findings can help shape policy to help
isolate opioid use cases where timely intervention may be required to prevent
adverse consequences, prevent overdose-related deaths, and worsen the epidemic.",eDarkTrends: Harnessing Social Media Trends in Substance use disorders for Opioid Listings on Cryptomarket,2021
"Özgür Dogan, Oguzhan Sahin, Enis Karaarslan",AI,2021,"The damage and the impact of natural disasters are becoming more destructive
with the increase of urbanization. Today's metropolitan cities are not
sufficiently prepared for the pre and post-disaster situations. Digital Twin
technology can provide a solution. A virtual copy of the physical city could be
created by collecting data from sensors of the Internet of Things (IoT) devices
and stored on the cloud infrastructure. This virtual copy is kept current and
up to date with the continuous flow of the data coming from the sensors. We
propose a disaster management system utilizing machine learning called DT-DMS
is used to support decision-making mechanisms. This study aims to show how to
educate and prepare emergency center staff by simulating potential disaster
situations on the virtual copy. The event of a disaster will be simulated
allowing emergency center staff to make decisions and depicting the potential
outcomes of these decisions. A rescue operation after an earthquake is
simulated. Test results are promising and the simulation scope is planned to be
extended.",Digital Twin Based Disaster Management System Proposal: DT-DMS,2021
"Martin Käppel, Stefan Jablonski, Stefan Schönig",AI,2021,"Predictive business process monitoring is concerned with the prediction how a
running process instance will unfold up to its completion at runtime. Most of
the proposed approaches rely on a wide number of different machine learning
(ML) techniques. In the last years numerous comparative studies, reviews, and
benchmarks of such approaches where published and revealed that they can be
successfully applied for different prediction targets. ML techniques require a
qualitatively and quantitatively sufficient data set. However, there are many
situations in business process management (BPM) where only a quantitatively
insufficient data set is available. The problem of insufficient data in the
context of BPM is still neglected. Hence, none of the comparative studies or
benchmarks investigates the performance of predictive business process
monitoring techniques in environments with small data sets. In this paper an
evaluation framework for comparing existing approaches with regard to their
suitability for small data sets is developed and exemplarily applied to
state-of-the-art approaches in predictive business process monitoring.",Evaluating Predictive Business Process Monitoring Approaches on Small Event Logs,2021
"Jessica Morley, Caroline Morton, Kassandra Karpathakis, Mariarosaria Taddeo, Luciano Floridi",AI,2021,"The potential presented by Artificial Intelligence (AI) for healthcare has
long been recognised by the technical community. More recently, this potential
has been recognised by policymakers, resulting in considerable public and
private investment in the development of AI for healthcare across the globe.
Despite this, excepting limited success stories, real-world implementation of
AI systems into front-line healthcare has been limited. There are numerous
reasons for this, but a main contributory factor is the lack of internationally
accepted, or formalised, regulatory standards to assess AI safety and impact
and effectiveness. This is a well-recognised problem with numerous ongoing
research and policy projects to overcome it. Our intention here is to
contribute to this problem-solving effort by seeking to set out a minimally
viable framework for evaluating the safety, acceptability and efficacy of AI
systems for healthcare. We do this by conducting a systematic search across
Scopus, PubMed and Google Scholar to identify all the relevant literature
published between January 1970 and November 2020 related to the evaluation of:
output performance; efficacy; and real-world use of AI systems, and
synthesising the key themes according to the stages of evaluation: pre-clinical
(theoretical phase); exploratory phase; definitive phase; and post-market
surveillance phase (monitoring). The result is a framework to guide AI system
developers, policymakers, and regulators through a sufficient evaluation of an
AI system designed for use in healthcare.","Towards a framework for evaluating the safety, acceptability and efficacy of AI systems for health: an initial synthesis",2021
